region,side
VISpl4,right
VISpl5,right
VISpl5,left
VISpl6a,left
VISpl6a,right
VISpl6b,left
VISpl6b,right
VISpm1,left
VISpm1,right
VISpm2/3,right
VISpm2/3,left
VISpm4,left
VISpm4,right
VISpm5,left
VISpm5,right
VISpm6a,left
VISpm6a,right
VISpm6b,right
VISpm6b,left
VISpor1,left
VISpor1,right
VISpor2/3,left
VISpor2/3,right
VISpor4,right
VISpor4,left
VISpor5,left
VISpor5,right
VISpor6a,left
VISpor6a,right
VISpor6b,left
VISpor6b,right
VISrl1,right
VISrl1,left
VISrl2/3,right
VISrl2/3,left
VISrl4,left
VISrl4,right
VISrl5,right
VISrl5,left
VISrl6a,right
VISrl6a,left
VISrl6b,right
VISrl6b,left
VLPO,left
VLPO,right
VM,right
VM,left
VMH,right
VMH,left
VMPO,left
VMPO,right
VPL,right
VPL,left
VPLpc,right
VPLpc,left
VPM,right
VPM,left
VPMpc,left
VPMpc,right
VTA,left
VTA,right
VTN,left
VTN,right
x,left
x,right
Xi,right
Xi,left
XII,left
XII,right
y,left
y,right
